Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
Q9BWF3	Q9BWF3;Q9BQ04	RBM4_HUMAN	RBM4	RNA-binding protein 4	1793.99	1631.11	635.862	1053.32	1264.41	1032.52	1165.06	1495.16	833.316	1185.01		1695.13	2037.01	1417.2	1925.31	2730.11	755.222	632.879	1195.21	1286.86
Q9BWH2	Q9BWH2	FUND2_HUMAN	FUNDC2	FUN14 domain-containing protein 2													215.25					304.859		
Q9BWM7	Q9BWM7	SFXN3_HUMAN	SFXN3	Sideroflexin-3	770.501		538.165	784.211		281.847	639.913	660.838	688.582	698.43		488.448	832.64	1292.88	491.931		1093.14	1980.24	715.738	670.764
Q9BWS9	Q9BWS9	CHID1_HUMAN	CHID1	Chitinase domain-containing protein 1				103.45					227.637					380.878			284.225	366.335		
Q9BX68	Q9BX68	HINT2_HUMAN	HINT2	Adenosine 5'-monophosphoramidase HINT2	447.149					346.003			185.971	163.096		549.963					170.992	297.405		
Q9BXJ9	Q9BXJ9	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit			762.775	512.894		750.42			508.721						651.311				775.68	531.382
Q9BXP5	Q9BXP5	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog	684.828		687.858	505.133		781.294	418.047	893.236	629.437	714.729		723.71	483.968	750.136	484.105		522.063	327.969		772.539
Q9BXS5	Q9BXS5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1			328.367	531.335		504.472			652.275			381.571			359.826	625.721	329.509		641.288	565.816
Q9BY32	Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase	261.163	313.377	258.559	309.667					285			546.353	544.494						497.399	471.89
Q9BY44	Q9BY44	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A			198.687	310.279		617.456			429.989						414.024		247.955		438.374	470.554
Q9BY77	Q9BY77	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3	455.445		167.095	564.972		263.202									393.068		48.5407		255.426	
Q9BYC9	Q9BYC9	RM20_HUMAN	MRPL20	39S ribosomal protein L20, mitochondrial			113.67											294.433			290.734	355.185	69.9562	
Q9BYD1	Q9BYD1	RM13_HUMAN	MRPL13	39S ribosomal protein L13, mitochondrial	462.052		474.773						476.933	171.439				297.147			177.432	131.308	121.342	256.128
Q9BYD2	Q9BYD2	RM09_HUMAN	MRPL9	39S ribosomal protein L9, mitochondrial	866.501		249.823			322.209	940.984		348.444			399.115	493.323	332.586	326.894		369.489	407.099	573.794	357.238
Q9BYD3	Q9BYD3	RM04_HUMAN	MRPL4	39S ribosomal protein L4, mitochondrial	446.881		451.513						167.691	644.81							143.233	405.477		246.347
Q9BYD6	Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial	477.349		216.137	360.655		139.119	334.519	116.938	312.928	221.191		632.136	411.795	503.446	321.241		467.759	198.907		324.664
Q9BYG3	Q9BYG3	MK67I_HUMAN	NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein	234.406							241.043	211.068						170.596				175.222	
Q9BYN8	Q9BYN8	RT26_HUMAN	MRPS26	28S ribosomal protein S26, mitochondrial			99.4513	194.429		158.018			243.272			197.417		256.956			248.148	305.15	153.034	
Q9BYT8	Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial			329.863			192.599			213.488						109.079		404.562	95.0416	208.844	
Q9BZE1	Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial	869.779		230.041			288.744	703.664		262.195				260.758	519.377			452.063	495.71	220.929	418.304
Q9BZE4	Q9BZE4	GTPB4_HUMAN	GTPBP4	GTP-binding protein 4	610.35		370.165			428.535		498.555	816.956	483.072				311.457	388.909		122.211		166.151	143.998
Q9BZG1	Q9BZG1	RAB34_HUMAN	RAB34	Ras-related protein Rab-34			391.088			417.014			559.619			1259.61		578.483	589.735		197.204	197.894	244.64	615.929
Q9BZK7	Q9BZK7	TBL1R_HUMAN	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1			164.01						211.45			456.338			189.995				211.457	
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	260.605		661.678	668.525		949.061			469.979			993.828		377.288	505.209		631.197		890.225	636.753
Q9C075	O76011;Q9C075;O76009;P13646;P35900;Q14525;Q15323;Q6A162;CONT|O76009|KT33A_HUMAN;CONT|O76011|KRT34_HUMAN;CONT|Q14525|KT33B_HUMAN;CONT|Q15323|K1H1_HUMAN;CONT|P13646|K1C13_HUMAN;CONT|P35900|K1C20_HUMAN;CONT|Q6A162|K1C40_HUMAN;CONT|Q9C075|K1C23_HUMAN;CONT|O77727|K1C15_SHEEP;CONT|P02534|K1M1_SHEEP;CONT|P25690|K1M2_SHEEP	K1C23_HUMAN	KRT23	Keratin, type I cytoskeletal 23	757.976			464.304	330.038	271.965		1219.65	259.959	359.856				498.256	412.549	596.28				374.596
Q9C0C2	Q9C0C2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein			522.264	143.338		333.169			415.811			428.233			644.553	365.917	319.171		523.668	512.284
Q9C0E8	Q9C0E8	LNP_HUMAN	LNPK	Endoplasmic reticulum junction formation protein lunapark			181.606	541.991		430.62											134.15	168.695		
Q9GZP4	Q9GZP4	PITH1_HUMAN	PITHD1	PITH domain-containing protein 1			173.486	146.296		111.411	141.346						232.432				523.636	92.6765	248.197	810.041
Q9GZS3	Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61			173.704	222.739					140.463			256.352							319.199	
Q9GZT3	Q9GZT3	SLIRP_HUMAN	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial	836.487		193.434			372.206	1066.57	828.482	477.697			978.371		1077.38	770.413		1202.71	886.893	229.689	374.837
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50			219.744			419.009														
Q9H0A0	Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase	492.334		229.837	327.702		379.323		671.721	464.572	386.3		307.851	245.737	410.707			288.748	321.315	271.509	298.706
Q9H0C8	Q9H0C8	ILKAP_HUMAN	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C			291.215			402.277											256.805			
Q9H0D6	Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2			197.347	323.316		877.263		884.465	413.256	630.06			540.799	951.869			349.101		338.638	780.242
Q9H0E2	Q9H0E2	TOLIP_HUMAN	TOLLIP	Toll-interacting protein	204.927					218.653				280.726		494.178	295.307	476.886		663.66	335.518			1056.11
Q9H0S4	Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	516.456		448.338	380.832			780.988	347.242	222.04								386.63			
Q9H0U3	Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1				389.124													325.878		213.718	
Q9H0U4	Q9H0U4;Q92928	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B				597.504			845.669					16.2479		221.8	313.612		248.902	373.933	462.818	225.416
Q9H0U6	Q9H0U6	RM18_HUMAN	MRPL18	39S ribosomal protein L18, mitochondrial	387.619					182.801			344.324	311.34				367.079			424.805	302.092		
Q9H1B7	Q9H1B7	I2BPL_HUMAN	IRF2BPL	Probable E3 ubiquitin-protein ligase IRF2BPL			138.58			258.286								478.024			390.985			755.08
Q9H1E3	Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1			1034.5	941.947		1104.89			847.497			595.63	357.89		412.689		663.523		806.278	673.281
Q9H1E5	Q9H1E5	TMX4_HUMAN	TMX4	Thioredoxin-related transmembrane protein 4			323.3	341.352		255.952		657.206				665.913		332.535	444.628		420.452	678.881	307.627	
Q9H1K4;Q9H936	Q9H936;Q9H1K4	GHC1_HUMAN;GHC2_HUMAN	SLC25A18;SLC25A22	Mitochondrial glutamate carrier 2	165.956		294.014	544.399				471.406		679.076				411.128			448.176	482.349	196.894	
Q9H223	Q9NZN3;Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4			951.161	1050.13		772.406		512.857	914.855			1253.49		176.643	657.091	1611.23	1589.17	327.29	2021.75	721.133
Q9H299	Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	252.961	515.969	2567.52	3015.69	862.059	2125.02	835.956	523.615	4183.93	1456.92		3130.04	1883.16	1077.75	3462.89	2540.55	1024.28	1005.8	3776.06	3568.03
Q9H2D6	Q9H2D6	TARA_HUMAN	TRIOBP	TRIO and F-actin-binding protein				132.956		354.802						248.46					522.39			451.068
Q9H2G2	Q9H2G2;O94804	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase			215.902	156.897		463.052			344.328			158.437				361.796	392.436		174.718	224.661
Q9H2M9	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit			104.587											199.231			244.986			
Q9H2U2	Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial			184.614	174.927		216.286			288.879			334.114		534.343	420.571		457.977	670.94	321.523	812.876
Q9H307	Q9H307	PININ_HUMAN	PNN	Pinin	616.848		428.928	449.783		232.237		305.097	246.646				565.833	774.54			459.662	141.292	449.168	650.469
Q9H3H3	Q9H3H3	CK068_HUMAN	C11orf68	UPF0696 protein C11orf68																				218.773
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2			292.691			889.91			919.602			410.998			295.789		241.5		272.648	345.603
Q9H3N1	Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	2401.21		761.12	1062.28		1400.6	1179.07	777.001	1085.03	2001.37		313.192	849.052	947.633	714.839		1053.53	1288.76	779.692	833.649
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60			218.073	143.963								262.674					383.716			
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A			203.158						416.411										546.551	
Q9H444	Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b			620.359	563.991		646.339			342.748			415.799								706.935
Q9H488	Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	318.793					208.66							319.676	111.077	247.916	555.597	202.279	343.41		
Q9H4A3	Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1									580.357						466.569		246.952			475.131
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B			466.774	503.075		448.522			768.621			831.983					489.708		312.53	1254.16
Q9H4G4	Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1			221.04	480.451			121.694							186.076			128.398	153.933		353.151
Q9H4M9	Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	592.321		488.201	472.258		341.333			442.077			418.733		343.129	185.428		306.499		550.026	547.592
Q9H6R3	Q9H6R3	ACSS3_HUMAN	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial		835.432	274.796	474.424	600.924												98.4709			
Q9H6T3	Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3			91.8461																	
Q9H6Z4	Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3			177.972									581.149			466.047				295.084	
Q9H7Z7	Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	157.192		182.435	117.66					166.598					300.753				179.146		
Q9H832	Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z				446.118		762.146		552.083	786.584			597.6					365.484			272.568
Q9H853	Q9H853	TBA4B_HUMAN	TUBA4B	Putative tubulin-like protein alpha-4B	590.103	465.244	2278.34	2194.78		2250.8			3788.71			2398.23	349.022		1617.75	1462.08	1778.61	601.557	1214.69	2504.94
Q9H8Y8	Q9BQQ3;Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2			292.516	248.79		125.199						64.9913	375.021					385.243	576.214	
Q9H910	Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2			931.266	1260.2		1803.49			737.381			1152.93	1180.09		1294.19		553.932		790.586	1210.27
Q9H9A6	Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40			385.554	203.126					660.356			166.15			329.621		414.031		235.288	504.055
Q9H9B4	Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	1375.44		408.957	645.355		441.042	768.801	227.274	808.887	680.992		712.109	747.8	1299.92	113.451		966.488	1449.54	354.687	801.369
Q9HAB8	Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase			226.162	228.792					229.413								227.91		155.004	
Q9HB07	Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	794.756		636.003	519.367		451.417			493.066			573.901			633.739			246.03	379.469	302.963
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein			469.934	299.317					413.356					223.251	532.741				217.781	
Q9HBL0	Q63HR2;Q68CZ2;Q9HBL0	TENS1_HUMAN	TNS1	Tensin-1				682.525																
Q9HBL7	Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)						578.182	276.286	889.546							75.7748		340.636	516.901	167.846	237.154
Q9HC35	Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4			254.829	411.538		317.911	293.124		122.169						701.231	386.719	303.082		714.111	330.955
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	792.815		1021.84	384.703		571.234		504.948	669.525	238.304		783.596		223.837	826.784	601.3	773.802	1157.91	387.335	695.453
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	906.925		217.767	300.926		363.827		873.764	223.727	638.464		492.346		182.846			527.855	417.48	455.762	698.167
Q9HCD5	Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5														473.638			718.166			290.073
Q9HCE1	Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10			293.816	261.378				578.959	463.404			469.272					94.6442			171.643
Q9HCJ6	Q9HCJ6	VAT1L_HUMAN	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like			385.659	216.981					109.819						643.181		339.374		510.404	823.088
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase		1065.99	203.367						1408.07			1220.16		341.05	1036.82	1536.3	362.321	313.607	174.466	606.719
Q9HD33	Q9HD33	RM47_HUMAN	MRPL47	39S ribosomal protein L47, mitochondrial	745.532		281.96			294.508			150.954	560.416				440.669			489.918	504.082	399.27	
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	2167.3			242.311			710.544		1140.53			481.013	628.301	622.714	431.701		575.588	550.834	279.306	339.165
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	746.07		151.089	550.802			874.224		348.682	318.53			268.705	543.579			171.988	537.254		739.333
Q9NP61	Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3			171.051			211.543			294.08										293.109	
Q9NP72	Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	197.133	677.497	833.379	1353.09		1064.42	1501.05	1543.38	312.917	1370.08		1127.23	801.696	728.518	370.232	1482	893.97	1045.51	1014.02	662.19
Q9NP79	Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog			678.754	643.578		479.944				551.849					875.227	588.215	553.751	413.541		788.643
Q9NP97	Q8TF09;Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	412.325		586.62	779.937		602.993		180.837	208.762			635.672		255.519	570.126		527.494		754.422	685.223
Q9NPA0	Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7				392.976					289.168									157.173	321.505	
Q9NPH2	Q9NPH2	INO1_HUMAN	ISYNA1	Inositol-3-phosphate synthase 1				383.291												626.386	520.924			294.417
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13				186.934													208.453	143.906		
Q9NPQ8	Q9NPQ8;Q9NVN3	RIC8A_HUMAN	RIC8A	Synembryn-A			204.173	325.928		168.509			154.133			299.634					258.343		263.913	269.387
Q9NQ29	Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1			199.54	317.339		257.617													173.956	
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	1926.22		1219.72	1350.17	798.186	1143.75	2257.33	2055.44	1509.98	1575.92		593.307	1774.88	1105.9	541.707		1128.22	2224.66	1055.06	1136.97
Q9NQG1	Q9NQG1	MANBL_HUMAN	MANBAL	Protein MANBAL							130.693										292.518			
Q9NQG5	Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B			86.6071														231.033			
Q9NQP4	Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4			456.475			243.005											208.455			
Q9NQR4	Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2			270.917	459.661		381.019	680.57		362.991	158.552		447.471		635.94	337.976	314.227	297.193			523.836
Q9NQT4	Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46			288.313						252.518	441.713							256.343		385.008	
Q9NQW7	O00462;Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1			754.074	638.204		1062.22			548.248			498.076					342.793	1321.44	907.026	615.816
Q9NQX7	Q9NQX7	ITM2C_HUMAN	ITM2C	Integral membrane protein 2C										180.512				339.425						
Q9NQZ2	Q9NQZ2	SAS10_HUMAN	UTP3	Something about silencing protein 10	396.538		220.122	192.022		215.766		385.298	469.307					171.486			90.7881			502.768
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	199.72		2353.07	2121.42		2124.08	1247.81		2476.31			968.637			2058.79	568.672	2064.09	174.34	1120.31	2024.69
Q9NR19	Q9NR19	ACSA_HUMAN	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic				2940.69		115.52													164.482	
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	583.464		353.622	371.24		106.871							564.054	433.109			198.842	621.427		
Q9NR30	Q9NR30;Q9BQ39	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	1678.74	799.574	593.801	766.26		884.192	1679.69	2504.75	452.115	1614.51			1414.1	886.346	852.565	666.169	722.551	311.77	544.593	738.818
Q9NR31	Q9NR31;Q9Y6B6	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	728.389		1542.16	2769.37		2867.2	495.701		1317.98	342.751		1844.36		410.692	1190.79	979.811	1652.79	246.642	2107.96	2392.16
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase			335.936						219.934						281.986		81.8734			
Q9NRG1	Q9NRG1	PRDC1_HUMAN	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1			213.456																	
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	429.408		98.1215			316.031		264.943					346.135		331.669		389.313	168.525		
Q9NRN7	Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase			434.489	151.128					96.6404			472.719								180.262
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial	629.232		444.766	203.548				1421.6	478.104	580.481				1246.22			569.454	578.969		821.918
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase			149.439	137.275		216.854			322.324						341.747					250.622
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	210.029		245.675	312.373				205.463		368.13							182.622			
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	493.332		928.097	1176.5		1062.1	557.196	734.88	922.118			747.498		222.296	524.657	1302.83	673.793	754.232	723.043	743.764
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	725.608		239.768	503.983		147.274	23.2668		715.377	573.587		404.959	680.667	476.377	410.435		458.524	591.656	261.953	472.641
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3			62.7532			188.334			146.382										119.788	
Q9NTI2	Q9NTI2	AT8A2_HUMAN	ATP8A2	Phospholipid-transporting ATPase IB	1225.61		1392.97	451.287					481.045	598.346		1581.45		966.391	881.088		1792.36	1731.93		618.456
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	221.458	605.222	173.63			446.68						343.659							258.804	
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1			1369.91	1415.67		1118.38			1294.27			1318.24			1536.3	1844.52	776.103	109.176	1353.62	899.043
Q9NTX5	Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase			437.472	2505.11								758.753				184.343	355.656	980.175		
Q9NUI1	Q9NUI1	DECR2_HUMAN	DECR2	Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]				364.605					231.732					431.872				341.397		
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial							885.554										178.274	521.926		
Q9NUM4	Q9NUM4	T106B_HUMAN	TMEM106B	Transmembrane protein 106B			348.764				650.539			354.978							204.69	1230.8		
Q9NUQ9	Q9NUQ9;Q9H0Q0	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B			271.916	282.037		297.18			236.149			270.362			306.297		182.008		254.659	286.16
Q9NUU7;Q9UMR2	Q9NUU7;Q9UMR2	DD19A_HUMAN;DD19B_HUMAN	DDX19A;DDX19B	ATP-dependent RNA helicase DDX19A			282.614	216.883					225.019						694.132		156.733		258.997	
Q9NUY8	Q9NUY8	TBC23_HUMAN	TBC1D23	TBC1 domain family member 23			181.674	170.857													186.174		249.088	
Q9NV31	Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	945.666			239.672		161.931		209.993						372.898						132.925
Q9NVA2	Q14141;Q92599;Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11			1604.6	1748.59		933.284		877.112	1490	334.247		900.065	1080.79		1223.55	942.967	1491.32	120.798	795.783	1904.37
Q9NVD7	Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin			319.138	327.681													252.687		186.676	
Q9NVH0	Q9NVH0	EXD2_HUMAN	EXD2	Exonuclease 3'-5' domain-containing protein 2			137.526														500.312	312.072		
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	413.505																	373.904		
Q9NVI7	Q9NVI7;Q5T9A4	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	956.548		393.881	660.674		452.56	1128.9	1167.47	446.425	748.495		330.189	580.581	1099.97	512.93		518.291	605.685	446.58	576.039
Q9NVJ2	Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	771.117		326.655	1115.74		624.548	592.374					584.872		1705.23	305.6		528.671	498.757	459.754	733.987
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18			144.377	330.657		340.402	498.679	343.146				304.628	542.725		224.474		444.195	265.806		
Q9NVZ3	Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2			115.534						329.079								285.697		107.4	
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1			325.723					358.392	650.777											
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	39S ribosomal protein L22, mitochondrial	460.389		459.635	342.921					651.636	270.461		479.245					433.5	888.012		531.912
